gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
226	391	671	Oosterlittens	5.64985224444444434	53.13645555555555555555	51248	182330	3	01010000206E6C0400F97BE4DD72991640FC3B2A6077914A40	01010000206C6C0400000000000006E94000000000D0410641
227	392	676	Oostkerke	3.82216335555555586	51.53134722222222222223	-73654	4021	3	01010000206E6C040060A5A061CA930E40E8218F2F03C44940	01010000206C6C04000000000060FBF1C000000000006AAF40
228	393	706	Pannerden	6.0381161333333333	51.88924444444444444444	79442	43726	3	01010000206E6C04006D7768EA07271840F0840FC3D2F14940	01010000206C6C0400000000002065F34000000000C059E540
229	393	723	Princenhage	4.73956335555555608	51.57709444444444444445	-10002	8586	3	01010000206E6C04007FB9A51850F51240CCCB123BDEC94940	01010000206C6C0400000000000089C3C00000000000C5C040
231	393	725	Puiflijk	5.59129668888888887	51.87811388888888888889	48702	42298	3	01010000206E6C0400210B14E17C5D16407878310966F04940	01010000206C6C040000000000C0C7E7400000000040A7E440
233	394	734	Ravenswaaij	5.32992168888888962	51.95361944444444444444	30656	50556	3	01010000206E6C04005213C0FDD6511540FA5BB33310FA4940	01010000206C6C04000000000000F0DD400000000080AFE840
234	395	762	Rossum	5.3455689111111111	51.800088888888888888888889	31840	33484	3	01010000206E6C04003AF20ED1DC611540DBD50D5069E64940	01010000206C6C0400000000000018DF40000000008059E040
235	395	777	Schardam	5.01770224444444501	52.59690555555555555555	9065	122039	3	01010000206E6C0400A0D1838920121440B7F4B766674C4A40	01010000206C6C04000000000080B4C1400000000070CBFD40
236	396	796	Signaal bij Beekbergen	5.92488835555555582	52.15375277777777777778	71228	73232	3	01010000206E6C0400D93FDEEE15B31740C31CC82BAE134A40	01010000206C6C040000000000C063F1400000000000E1F140
237	396	797	Signaal bij Hellendoorn	6.4356216888888893	52.38072500000000000000	105628	99098	3	01010000206E6C040004D3AC9C13BE194082E2C798BB304A40	01010000206C6C040000000000C0C9F94000000000A031F840
238	396	799	Silvolde	6.38090502222222256	51.91074444444444444444	102983	46744	3	01010000206E6C04006D4E55F70B86194088F3214693F44940	01010000206C6C0400000000007024F9400000000000D3E640
239	397	824	Standdaarbuiten	4.51357168888888882	51.61223888888888888889	-25645	12551	3	01010000206E6C040092B79FBCE50D1240FF8E0AD85DCE4940	01010000206C6C040000000000400BD9C0000000008083C840
240	397	833	Steenwijkerwold	6.06707724444444452	52.80452777777777777778	79770	145776	3	01010000206E6C040057C7ACE5AF441840BA2327C4FA664A40	01010000206C6C040000000000A079F3400000000080CB0141
241	399	864	Twijzel	6.10378280000000029	53.24038055555555555555	81423	194302	3	01010000206E6C04009B8CCF09466A18404B5A40CAC49E4A40	01010000206C6C040000000000F0E0F34000000000F0B70741
242	399	871	Uithuizen	6.67403557777777756	53.40809444444444444444	119007	213743	3	01010000206E6C04008995EB6136B21A40BA4852703CB44A40	01010000206C6C040000000000F00DFD400000000078170A41
243	400	884	Veenhuizen (Noordholland)	4.89091057777777838	52.70317500000000000000	475	133854	3	01010000206E6C040037DDCCDC4A901340B22E6EA3015A4A40	01010000206C6C04000000000000B07D4000000000F0560041
230	393	724	Pruisberg (Sign. op den-)	6.01939668888888946	50.76206944444444444444	80101	-81461	3	01010000206E6C0400C1B6C1B9DC131840BB95D67D8B614940	01010000206C6C040000000000508EF3400000000050E3F3C0
93	368	77	Bentheim (Signaal)	7.15778557777777813	52.30291111111111111111	155045	91730	1	01010000206E6C04001858E18A92A11C409BE891CAC5264A40	01010000206C6C04000000000028ED0241000000002065F640
232	393	726	Purmerende (Toren van de Koepelkerk)	4.94669946666666682	52.51009722222222222222	4264	112374	3	01010000206E6C04005EE5C1956BC91340C99CA3DD4A414A40	01010000206C6C04000000000000A8B04000000000606FFB40
244	400	887	Veessen	6.08890502222222274	52.37827500000000000000	82034	98381	3	01010000206E6C04000F940BEB095B18407CF2B0506B304A40	01010000206C6C0400000000002007F44000000000D004F840
245	401	910	Vorchten	6.10692168888888887	52.39996111111111111111	83219	100814	3	01010000206E6C0400210B14E17C6D184070F2F9EC31334A40	01010000206C6C0400000000003051F44000000000E09CF840
246	401	921	Vuurtoren bij Durgerdam	5.01442724444444465	52.37230833333333333334	8889	97050	3	01010000206E6C0400B73DFC03C60E1440F4D8A9CCA72F4A40	01010000206C6C040000000000805CC14000000000A0B1F740
247	401	924	Vuurtoren op Urk	5.59250224444444477	52.66170833333333333333	47932	129472	3	01010000206E6C040029C88AE8B85E16402394D1DBB2544A40	01010000206C6C0400000000008067E74000000000009CFF40
248	401	925	Waa1 (De)	4.8207355777777785	53.07326666666666666667	-4231	175034	3	01010000206E6C04007EE044E86E481340329C58CD60894A40	01010000206C6C0400000000000087B0C000000000D05D0541
